Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
,,,,,,,,Size,S,Colour,Maroon,,,LH-05-S-MAROON,500,shopify,3,deny,manual,9999,14999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/about.jpg,2,Simran Lehenga Set — Label Surbhee,,,,
,,,,,,,,Size,M,Colour,Ivory,,,LH-05-M-IVORY,500,shopify,3,deny,manual,9999,14999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,M,Colour,Maroon,,,LH-05-M-MAROON,500,shopify,3,deny,manual,9999,14999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,L,Colour,Ivory,,,LH-05-L-IVORY,500,shopify,3,deny,manual,9999,14999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,L,Colour,Maroon,,,LH-05-L-MAROON,500,shopify,3,deny,manual,9999,14999,TRUE,TRUE,,,,,,,,
ishita-bridal,Ishita Bridal,"<p>Our most requested bridal piece — full dabka zardozi, two dupattas, one very patient embroidery team. Back for the wedding season.</p>
<ul>
<li><strong>Fabric:</strong> Dabka raw silk · Full zardozi</li>
<li><strong>Category:</strong> Bridal Lehengas</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Bridal Lehengas,"bestseller, lehengas, bridal-lehengas, coll-wedding, coll-limited",TRUE,Size,S,,,,,LH-06-S,500,shopify,0,deny,manual,54999,69999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/lehenga1.jpg,1,Ishita Bridal — Label Surbhee,,Ishita Bridal | Label Surbhee,"Our most requested bridal piece — full dabka zardozi, two dupattas, one very patient embroidery team. Back for the wedding season. Free shipping over ₹1,999.",active
,,,,,,,,Size,M,,,,,LH-06-M,500,shopify,0,deny,manual,54999,69999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/about.jpg,2,Ishita Bridal — Label Surbhee,,,,
,,,,,,,,Size,L,,,,,LH-06-L,500,shopify,0,deny,manual,54999,69999,TRUE,TRUE,,,,,,,,
anaya-zari-saree,Anaya Zari Saree,"<p>A deep maroon raw silk saree with a woven zari border that photographs like jewellery. Drapes in five minutes, holds all night.</p>
<ul>
<li><strong>Fabric:</strong> Raw silk · Woven zari border</li>
<li><strong>Category:</strong> Sarees</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Sarees,"bestseller, clothing, sarees, coll-festive, coll-wedding",TRUE,Size,Free Size,Colour,Maroon,,,CL-01-FREE-SIZE-MAROON,500,shopify,5,deny,manual,8499,10999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/saree1.jpg,1,Anaya Zari Saree — Label Surbhee,,Anaya Zari Saree | Label Surbhee,"A deep maroon raw silk saree with a woven zari border that photographs like jewellery. Drapes in five minutes, holds all night. Free shipping over ₹1,999.",active
,,,,,,,,Size,Free Size,Colour,Gold,,,CL-01-FREE-SIZE-GOLD,500,shopify,5,deny,manual,8499,10999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/about.jpg,2,Anaya Zari Saree — Label Surbhee,,,,
meher-silk-gown,Meher Silk Gown,"<p>An ivory silk Indo-Western gown with a gold-thread panel down the bodice. The “I’m late but I’m dressed” answer.</p>
<ul>
<li><strong>Fabric:</strong> Silk blend · Gold thread panel</li>
<li><strong>Category:</strong> Dresses</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Dresses,"new, clothing, dresses, coll-party, coll-new",TRUE,Size,S,,,,,CL-02-S,500,shopify,2,deny,manual,11999,14999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/dress1.jpg,1,Meher Silk Gown — Label Surbhee,,Meher Silk Gown | Label Surbhee,"An ivory silk Indo-Western gown with a gold-thread panel down the bodice. The “I’m late but I’m dressed” answer. Free shipping over ₹1,999.",active
,,,,,,,,Size,M,,,,,CL-02-M,500,shopify,2,deny,manual,11999,14999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/about.jpg,2,Meher Silk Gown — Label Surbhee,,,,
,,,,,,,,Size,L,,,,,CL-02-L,500,shopify,2,deny,manual,11999,14999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,XL,,,,,CL-02-XL,500,shopify,2,deny,manual,11999,14999,TRUE,TRUE,,,,,,,,
tara-festive-co-ords,Tara Festive Co-ords,"<p>Jacket and wide-leg trousers in festive maroon with antique gold buttons. Co-ords that behave like a suit.</p>
<ul>
<li><strong>Fabric:</strong> Cotton-silk · Antique gold buttons</li>
<li><strong>Category:</strong> Co-ords</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Co-ords,"new, clothing, co-ords, coll-festive, coll-party, coll-new",TRUE,Size,S,,,,,CL-03-S,500,shopify,4,deny,manual,6999,9499,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/coords1.jpg,1,Tara Festive Co-ords — Label Surbhee,,Tara Festive Co-ords | Label Surbhee,"Jacket and wide-leg trousers in festive maroon with antique gold buttons. Co-ords that behave like a suit. Free shipping over ₹1,999.",active
,,,,,,,,Size,M,,,,,CL-03-M,500,shopify,4,deny,manual,6999,9499,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/about.jpg,2,Tara Festive Co-ords — Label Surbhee,,,,
,,,,,,,,Size,L,,,,,CL-03-L,500,shopify,4,deny,manual,6999,9499,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,XL,,,,,CL-03-XL,500,shopify,4,deny,manual,6999,9499,TRUE,TRUE,,,,,,,,
ira-embellished-kurta,Ira Embellished Kurta,"<p>The kurta that earns its name — gold embroidery over maroon, soft enough for work, sharp enough for dinner after.</p>
<ul>
<li><strong>Fabric:</strong> Cotton · Gold embroidery</li>
<li><strong>Category:</strong> Tops</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Tops,"bestseller, clothing, tops, coll-rozana",TRUE,Size,S,,,,,CL-04-S,500,shopify,5,deny,manual,3999,5499,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/top1.jpg,1,Ira Embellished Kurta — Label Surbhee,,Ira Embellished Kurta | Label Surbhee,"The kurta that earns its name — gold embroidery over maroon, soft enough for work, sharp enough for dinner after. Free shipping over ₹1,999.",active
,,,,,,,,Size,M,,,,,CL-04-M,500,shopify,5,deny,manual,3999,5499,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/about.jpg,2,Ira Embellished Kurta — Label Surbhee,,,,
,,,,,,,,Size,L,,,,,CL-04-L,500,shopify,5,deny,manual,3999,5499,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,XL,,,,,CL-04-XL,500,shopify,5,deny,manual,3999,5499,TRUE,TRUE,,,,,,,,
nadia-party-gown,Nadia Party Gown,"<p>Bias-cut satin that follows, not leads. Built for the second hour of a party, when the dancing gets serious.</p>
<ul>
<li><strong>Fabric:</strong> Satin · Bias cut</li>
<li><strong>Category:</strong> Dresses</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Dresses,"bestseller, clothing, dresses, coll-party",TRUE,Size,S,Colour,Ivory,,,CL-05-S-IVORY,500,shopify,1,deny,manual,7999,,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/dress1.jpg,1,Nadia Party Gown — Label Surbhee,,Nadia Party Gown | Label Surbhee,"Bias-cut satin that follows, not leads. Built for the second hour of a party, when the dancing gets serious. Free shipping over ₹1,999.",active
,,,,,,,,Size,S,Colour,Maroon,,,CL-05-S-MAROON,500,shopify,1,deny,manual,7999,,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/about.jpg,2,Nadia Party Gown — Label Surbhee,,,,
,,,,,,,,Size,M,Colour,Ivory,,,CL-05-M-IVORY,500,shopify,1,deny,manual,7999,,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,M,Colour,Maroon,,,CL-05-M-MAROON,500,shopify,1,deny,manual,7999,,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,L,Colour,Ivory,,,CL-05-L-IVORY,500,shopify,1,deny,manual,7999,,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,L,Colour,Maroon,,,CL-05-L-MAROON,500,shopify,1,deny,manual,7999,,TRUE,TRUE,,,,,,,,
aarohi-velvet-jacket,Aarohi Velvet Jacket,"<p>A cropped velvet jacket in maroon. Thrown over everything — the saree, the co-ord, the good dress.</p>
<ul>
<li><strong>Fabric:</strong> Silk velvet · Structured shoulder</li>
<li><strong>Category:</strong> Jackets</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Jackets,"new, clothing, jackets, coll-rozana, coll-new",TRUE,Size,S,,,,,CL-06-S,500,shopify,2,deny,manual,5999,7999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/coords1.jpg,1,Aarohi Velvet Jacket — Label Surbhee,,Aarohi Velvet Jacket | Label Surbhee,"A cropped velvet jacket in maroon. Thrown over everything — the saree, the co-ord, the good dress. Free shipping over ₹1,999.",active
,,,,,,,,Size,M,,,,,CL-06-M,500,shopify,2,deny,manual,5999,7999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/about.jpg,2,Aarohi Velvet Jacket — Label Surbhee,,,,
,,,,,,,,Size,L,,,,,CL-06-L,500,shopify,2,deny,manual,5999,7999,TRUE,TRUE,,,,,,,,
riva-silk-blouse,Riva Silk Blouse,"<p>A structured raw silk blouse in two colours — the missing half of every saree you already own.</p>
<ul>
<li><strong>Fabric:</strong> Raw silk · Puff sleeve</li>
<li><strong>Category:</strong> Blouses</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Blouses,"bestseller, clothing, blouses, coll-wedding",TRUE,Size,S,Colour,Maroon,,,CL-07-S-MAROON,500,shopify,3,deny,manual,2499,2999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/top1.jpg,1,Riva Silk Blouse — Label Surbhee,,Riva Silk Blouse | Label Surbhee,"A structured raw silk blouse in two colours — the missing half of every saree you already own. Free shipping over ₹1,999.",active
,,,,,,,,Size,S,Colour,Ivory,,,CL-07-S-IVORY,500,shopify,3,deny,manual,2499,2999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/about.jpg,2,Riva Silk Blouse — Label Surbhee,,,,
,,,,,,,,Size,M,Colour,Maroon,,,CL-07-M-MAROON,500,shopify,3,deny,manual,2499,2999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,M,Colour,Ivory,,,CL-07-M-IVORY,500,shopify,3,deny,manual,2499,2999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,L,Colour,Maroon,,,CL-07-L-MAROON,500,shopify,3,deny,manual,2499,2999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,L,Colour,Ivory,,,CL-07-L-IVORY,500,shopify,3,deny,manual,2499,2999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,XL,Colour,Maroon,,,CL-07-XL-MAROON,500,shopify,3,deny,manual,2499,2999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,XL,Colour,Ivory,,,CL-07-XL-IVORY,500,shopify,3,deny,manual,2499,2999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,XXL,Colour,Maroon,,,CL-07-XXL-MAROON,500,shopify,3,deny,manual,2499,2999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,XXL,Colour,Ivory,,,CL-07-XXL-IVORY,500,shopify,3,deny,manual,2499,2999,TRUE,TRUE,,,,,,,,
noor-jhumkas,Noor Jhumkas,"<p>Antique gold jhumkas with a single pearl drop — light on the ear, heavy in the room.</p>
<ul>
<li><strong>Fabric:</strong> Alpaca metal · Pearl drop</li>
<li><strong>Category:</strong> Earrings</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Earrings,"new, jewellery, earrings, coll-festive, coll-party, coll-new",TRUE,Size,One Size,,,,,JW-01-ONE-SIZE,500,shopify,18,deny,manual,3499,4499,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/jewel1.jpg,1,Noor Jhumkas — Label Surbhee,,Noor Jhumkas | Label Surbhee,"Antique gold jhumkas with a single pearl drop — light on the ear, heavy in the room. Free shipping over ₹1,999.",active
sana-kundan-set,Sana Kundan Set,"<p>A kundan necklace with matching bangles. The piece our bridal clients point to first — and the one we almost never restock.</p>
<ul>
<li><strong>Fabric:</strong> Kundan · Gold plating</li>
<li><strong>Category:</strong> Necklaces</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Necklaces,"bestseller, jewellery, necklaces, coll-wedding, coll-festive",TRUE,Size,One Size,,,,,JW-02-ONE-SIZE,500,shopify,11,deny,manual,5999,7999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/jewel2.jpg,1,Sana Kundan Set — Label Surbhee,,Sana Kundan Set | Label Surbhee,"A kundan necklace with matching bangles. The piece our bridal clients point to first — and the one we almost never restock. Free shipping over ₹1,999.",active
mira-bridal-necklace,Mira Bridal Necklace,"<p>Statement bridal necklace with meenakari detail, made in small numbers. Pairs with the Ayesha and the Ishita.</p>
<ul>
<li><strong>Fabric:</strong> Kundan · Meenakari detail</li>
<li><strong>Category:</strong> Bridal Jewellery</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Bridal Jewellery,"bestseller, jewellery, bridal-jewellery, coll-wedding, coll-limited",TRUE,Size,One Size,,,,,JW-03-ONE-SIZE,500,shopify,5,deny,manual,8999,12999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/jewel2.jpg,1,Mira Bridal Necklace — Label Surbhee,,Mira Bridal Necklace | Label Surbhee,"Statement bridal necklace with meenakari detail, made in small numbers. Pairs with the Ayesha and the Ishita. Free shipping over ₹1,999.",active
kiara-chooda-bangles,Kiara Chooda Bangles,"<p>A stack of engraved bangles that chime just slightly — the sound your wrists were missing.</p>
<ul>
<li><strong>Fabric:</strong> Gold-plated · Engraved</li>
<li><strong>Category:</strong> Bangles</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Bangles,"bestseller, jewellery, bangles, coll-festive, coll-rozana",TRUE,Size,One Size,,,,,JW-04-ONE-SIZE,500,shopify,22,deny,manual,1999,2999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/jewel1.jpg,1,Kiara Chooda Bangles — Label Surbhee,,Kiara Chooda Bangles | Label Surbhee,"A stack of engraved bangles that chime just slightly — the sound your wrists were missing. Free shipping over ₹1,999.",active
zoya-statement-ring,Zoya Statement Ring,"<p>A wide antique gold ring with a dark marble face. One statement, no clutter.</p>
<ul>
<li><strong>Fabric:</strong> Alpaca metal · Marble stone</li>
<li><strong>Category:</strong> Rings</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Rings,"new, jewellery, rings, coll-party, coll-new",TRUE,Size,6,,,,,JW-05-6,500,shopify,4,deny,manual,1499,,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/jewel1.jpg,1,Zoya Statement Ring — Label Surbhee,,Zoya Statement Ring | Label Surbhee,"A wide antique gold ring with a dark marble face. One statement, no clutter. Free shipping over ₹1,999.",active
,,,,,,,,Size,7,,,,,JW-05-7,500,shopify,4,deny,manual,1499,,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/jewel2.jpg,2,Zoya Statement Ring — Label Surbhee,,,,
,,,,,,,,Size,8,,,,,JW-05-8,500,shopify,4,deny,manual,1499,,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,9,,,,,JW-05-9,500,shopify,4,deny,manual,1499,,TRUE,TRUE,,,,,,,,
